SurveyNum,Date,Date2,Study_period,Observer,Site_ID,Proportion_surveyed,Region,Sub_region,Location,Type,Depth_ft,trans_area,Site_area_m2
2894,10/30/2015,Fall 2015,18,Ed and Olivia,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,12,76.5,189
27,2/3/2013,Winter 2013,1,Jen Savaro,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,16,85.5,171
28,2/3/2013,Winter 2013,1,Kayelyn,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,16,85.5,171
112,3/19/2013,Spring 2013,2,Roger Grimes,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,15,85.5,171
113,3/19/2013,Spring 2013,2,Ben Barker,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,18,85.5,171
179,6/12/2013,Summer 2013,3,Catie/Lindsay,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,12,85.5,171
180,6/12/2013,Summer 2013,3,Alexis/Alex,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,85.5,171
181,7/22/2013,Summer 2013,4,Alex/Catie,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,14,85.5,171
182,7/22/2013,Summer 2013,4,Alex/Catie,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,14,85.5,171
281,10/7/2013,Fall 2013,5,Colin and Catie,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,85.5,171
282,10/7/2013,Fall 2013,5,Colin and Catie,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,85.5,171
319,11/22/2013,Fall 2013,6,Steve Schalk (Pennekamp),KL-P2,1,Florida,FKNMS,Key Largo,patch,16,85.5,171
376,2/10/2014,Winter 2014,7,Adam and Taylor,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,18,85.5,171
377,2/10/2014,Winter 2014,7,Liz and Jess,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,85.5,171
476,3/31/2014,Spring 2014,8,Jess and Taylor,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,12,85.5,171
477,3/31/2014,Spring 2014,8,Jess and Taylor,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,12,85.5,171
478,3/31/2014,Spring 2014,8,Jess and Taylor,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,12,85.5,171
1447,5/28/2014,Spring 2014,9,Becky and Charilie,KL-P2,1,Florida,FKNMS,Key Largo,patch,18,85.5,171
2210,8/6/2014,Summer 2014,10,Jes and Jessie,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,18,85.5,171
2211,8/6/2014,Summer 2014,10,Liz and Emily,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,18,85.5,171
2258,9/4/2014,Fall 2014,11,Lad and Amy,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,85.5,171
2259,9/4/2014,Fall 2014,11,Liz and Alyssa,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,14,85.5,171
2366,9/29/2014,Fall 2014,12,Alyssa and Ashtyn,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,15,85.5,171
2367,9/29/2014,Fall 2014,12,Alyssa and Ashtyn,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,15,85.5,171
2368,9/29/2014,Fall 2014,12,Alyssa and Ashtyn,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,15,85.5,171
2442,12/11/2014,Winter 2015,13,Alyssa and Anna,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,17,85.5,171
2443,12/11/2014,Winter 2015,13,Liz and Gracie,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,16,85.5,171
2529,1/27/2015,Winter 2015,14,Amy and Jack,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,21,85.5,171
2530,1/27/2015,Winter 2015,14,Liz and Kristen,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,16,85.5,171
2630,3/23/2015,Spring 2015,15,Anna and BZ,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,16,85.5,171
2631,3/23/2015,Spring 2015,15,Anna and BZ,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,16,85.5,171
2632,3/23/2015,Spring 2015,15,Anna and BZ,KL-P2,0.33,Florida,FKNMS,Key Largo,patch,15,85.5,171
2749,6/4/2015,Summer 2015,16,Lad and Steve Schalk,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,15,85.5,171
2750,6/4/2015,Summer 2015,16,Ed and Carlos,KL-P2,0.5,Florida,FKNMS,Key Largo,patch,12,85.5,171
2895,10/30/2015,Fall 2015,18,Ed and Olivia,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,12,90,189
50,2/5/2013,Winter 2013,1,Alex Kattan,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,9,94.5,189
52,2/5/2013,Winter 2013,1,Anne Benolkin,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,9,94.5,189
120,3/20/2013,Spring 2013,2,Lad,DANGER 88,1,Florida,FKNMS,Key Largo,patch,10,94.5,189
167,6/11/2013,Summer 2013,3,Ellie/Alex,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
168,6/11/2013,Summer 2013,3,Catie/Lindsay,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
211,8/6/2013,Summer 2013,4,Lindsay/Liz B,DANGER 88,1,Florida,FKNMS,Key Largo,patch,5,94.5,189
289,10/8/2013,Fall 2013,5,Allison,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,11,94.5,189
290,10/8/2013,Fall 2013,5,Allison,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,11,94.5,189
309,11/19/2013,Fall 2013,6,Catie and Lad,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,5,94.5,189
310,11/19/2013,Fall 2013,6,Catie and Lad,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,5,94.5,189
341,1/26/2014,Winter 2014,7,Elissa and Taylor,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,10,94.5,189
342,1/26/2014,Winter 2014,7,Jess and Lad,DANGER 88,0.5,Florida,FKNMS,Key Largo,patch,8,94.5,189
388,3/12/2014,Spring 2014,8,Liz and Taylor,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,9,94.5,189
389,3/12/2014,Spring 2014,8,Liz and Taylor,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,9,94.5,189
390,3/12/2014,Spring 2014,8,Liz and Taylor,DANGER 88,0.33,Florida,FKNMS,Key Largo,patch,9,94.5,189
