id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821
146,364,0.8,5,28,Reef,SH,rest,rest,midday,0,0,0,0,0,1e-8,Liz,0.5,0.5,0.5,400,200,High,NRM&CS,High,High
147,364,0.8,5,30,Reef,SH,rest,rest,midday,0,0,0,0,0,1e-8,Liz,0.5,0.5,0.5,400,200,High,NRM&CS,High,High
157,395,0.529411765,15,12,Reef,EXP,rest,rest,midday,0,0,0,0,0,1e-8,Liz,0,0.001,1,400,200,High,NRM&CS,High,High
467,2572,0.714285714,29,30,Reef,EXP,swim,active,midday,0,0,NA,NA,0,1e-8,Carlos,0,0.001,1,1272,225,High,Volunteer,High,High
511,2800,0.7,NA,20,Reef,SH,rest,rest,midday,0,0,NA,NA,0,1e-8,Lad,0,0.001,1,10000,1000,High,NRM&CS,High,High
523,2816,0.636363636,50,25,Reef,EXP,hover,active,midday,0,0,NA,NA,0,1e-8,Lad,0.333333333,0.333333333,0.666666667,10000,1000,High,NRM&CS,High,High
524,2816,0.636363636,50,44,Reef,EXP,hover,active,midday,0,0,NA,NA,0,1e-8,Lad,0.333333333,0.333333333,0.666666667,10000,1000,High,NRM&CS,High,High
525,2816,0.636363636,50,35,Reef,EXP,hover,active,midday,0,0,NA,NA,0,1e-8,Lad,0.333333333,0.333333333,0.666666667,10000,1000,High,NRM&CS,High,High
526,2816,0.636363636,50,35,Reef,EXP,hover,active,midday,0,0,NA,NA,0,1e-8,Lad,0.333333333,0.333333333,0.666666667,10000,1000,High,NRM&CS,High,High
897,5130,0.735442192,NA,40,Reef,EXP,hover,active,midday,0,0,0,0,0,1e-8,Grayson and Travis,0.714285714,0.714285714,0.285714286,NA,NA,High,Volunteer,High,High
1035,5413,0.485620915,NA,40,Reef,EXP,swim,active,Crepuscular,0,0,0,0,0,1e-8,Kara and Holden,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High
1038,5421,0.485620915,NA,35,Reef,SH,hover,active,midday,0,0,0,0,0,1e-8,Kris and Grytch,0.333333333,0.333333333,0.666666667,NA,NA,High,Volunteer,High,High
136,322,0.555555556,NA,NA,Reef,EXP,rest,rest,midday,0,0,NA,NA,0,1e-8,Steve Schalk,0,0.001,1,NA,NA,High,NRM&CS,High,High
189,1003,0.90625,35,27,Reef,SH,rest,rest,midday,0,0,NA,NA,0,1e-8,Tony,0.857142857,0.857142857,0.142857143,NA,NA,NA,Dive Professional,High,High
973,5301,0.397435641,NA,13,Reef,SH,swim,active,Crepuscular,0,0,NA,0,0,1e-8,Wall and Kersting,0.5,0.5,0.5,NA,NA,High,Volunteer,High,High
985,5324,0.397435641,NA,43,Reef,EXP,swim,active,midday,0,0,NA,0,0,1e-8,Wall and Kersting,0.7143,0.7143,0.2857,NA,NA,High,Volunteer,High,High
986,5324,0.397435641,NA,27,Reef,EXP,swim,active,midday,0,0,NA,0,0,1e-8,Wall and Kersting,0.7143,0.7143,0.2857,NA,NA,High,Volunteer,High,High
1049,5427,0.485620915,NA,35,Reef,EXP,hover,active,Crepuscular,0,0,0.083333333,0.00139,0.083333333,0.083333333,Fogg and Rachel,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High
1053,5427,0.485620915,NA,30,Reef,EXP,hunt,active,Crepuscular,0,0,0.083333333,0.00139,0.083333333,0.083333333,Fogg and Rachel,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High
1059,5428,0.485620915,NA,40,Reef,SH,swim,active,Crepuscular,0,0,0.666666667,0.01111,0.666666667,0.666666667,Kara and Holden,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High
81,207,0.677419355,8,14,Reef,SH,rest,rest,midday,0,0,8.502,0.1417,8.502,8.502,Steve Schalk,0.5,0.5,0.5,NA,NA,High,NRM&CS,High,High
82,207,0.677419355,8,15,Reef,SH,rest,rest,midday,0,0,8.502,0.1417,8.502,8.502,Steve Schalk,0.5,0.5,0.5,NA,NA,High,NRM&CS,High,High
406,2355,0.625,46,35,Reef,SH,hover,active,midday,0,0,NA,NA,0,1e-8,Amy,0,0.001,1,85,50,Low,Intern,Low,Low
447,2520,0.714285714,33,22,Reef,SH,rest,rest,midday,0,0,NA,NA,0,1e-8,Amy,0,0.001,1,85,50,Low,Intern,Low,Low
729,5114,0.735442192,NA,20,Reef,NA,NA,NA,Crepuscular,0,0,0,0,0,1e-8,Bryan and Anna,0.5,0.5,0.5,NA,NA,Low,Volunteer,Low,Low
610,5101,0.735442192,NA,15,Reef,EXP,swim,active,Crepuscular,0,0,0.083333333,0.0014,0.083333333,0.083333333,Bryan and Anna,0.75,0.75,0.25,NA,NA,Low,Volunteer,Low,Low
1042,5425,0.485620915,NA,NA,Reef,SH,hunt,active,Crepuscular,0,0,4,0.06667,4,4,Jason and Gaduken,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
223,1109,0.809523809,1,32,Reef,SH,rest,rest,midday,0,0,NA,NA,0,1e-8,Andrew,0.833333333,0.833333333,0.166666667,NA,NA,NA,NA,Medium,Low
851,5125,0.735442192,NA,25,Reef,SH,hover,active,Crepuscular,0,0,0,0,0,1e-8,Ari and Rachel,0.764705882,0.764705882,0.235294118,NA,NA,High,Volunteer,Medium,Low
852,5125,0.735442192,NA,35,Reef,SH,swim,active,Crepuscular,0,0,0,0,0,1e-8,Ari and Rachel,0.764705882,0.764705882,0.235294118,NA,NA,High,Volunteer,Medium,Low
1020,5410,0.485620915,NA,41,Reef,EXP,hover,active,Crepuscular,0,0,0,0,0,1e-8,Curtis and Amy,0.333333333,0.333333333,0.666666667,NA,NA,High,Dive Professional,Medium,Low
823,5124,0.735442192,NA,28,Reef,EXP,swim,active,Crepuscular,0,0,1,0.01667,1,1,Leah and Jackie,0.833333333,0.833333333,0.166666667,NA,NA,High,NRM&CS,Medium,Low
576,5100,0.735442192,NA,25,Reef,SH,rest,rest,Crepuscular,0,0,9,0.15,7,7,Leah and Jackie,0.818,0.818,0.182,NA,NA,High,NRM&CS,Medium,Low
235,1116,0.809523809,46,25,Reef,SH,rest,rest,midday,0,0,13.002,0.2167,7.002,7.002,Andrew,0.6,0.6,0.4,NA,NA,NA,NA,Medium,Low
129,297,0.555555556,56,15,Reef,SH,rest,rest,midday,0,0,NA,NA,0,1e-8,Zoe.Liz,0.666666667,0.666666667,0.333333333,32,0,Low,Intern,None,Low
198,1010,0.90625,25,25,Reef,EXP,hover,active,midday,1,0,0,0,0.083333333,1e-8,Chris,0.75,0.75,0.25,1000,1000,High,Dive Professional,High,High
176,464,0.775,14,5,Reef,EXP,rest,rest,midday,1,0,0,0,0.083333333,1e-8,Ed,0.666666667,0.666666667,0.333333333,NA,NA,High,Volunteer,High,High
994,5401,0.485620915,NA,20,Reef,SH,hunt,active,Crepuscular,1,0,0,0,0.083333333,1e-8,Fogg and Rachel,0.8,0.8,0.2,NA,NA,High,NRM&CS,High,High
743,5115,0.735442192,NA,29,Reef,NA,rest,rest,Crepuscular,1,0,0,NA,0.083333333,1e-8,Grayson and Travis,0.666666667,0.666666667,0.333333333,NA,NA,High,Volunteer,High,High
744,5115,0.735442192,NA,25,Reef,NA,NA,NA,Crepuscular,1,0,0,NA,0.083333333,1e-8,Grayson and Travis,0.666666667,0.666666667,0.333333333,NA,NA,High,Volunteer,High,High
745,5115,0.735442192,NA,28,Reef,NA,NA,NA,Crepuscular,1,0,0,NA,0.083333333,1e-8,Grayson and Travis,0.666666667,0.666666667,0.333333333,NA,NA,High,Volunteer,High,High
972,5301,0.397435641,NA,21,Reef,SH,rest,rest,Crepuscular,1,0,NA,0.00139,0.083333333,1e-8,Wall and Kersting,0.5,0.5,0.5,NA,NA,High,Volunteer,High,High
561,2877,0.846153846,7,8,Reef,EXP,rest,rest,midday,1,0,0,0,0.083333333,0.083333333,Carlos,0.5,0.5,0.5,1272,225,High,Volunteer,High,High
1023,5411,0.485620915,NA,15,Reef,EXP,hover,active,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Brian and Josh,0.333333333,0.333333333,0.666666667,NA,NA,NA,Volunteer,High,High
1024,5411,0.485620915,NA,22,Reef,EXP,hover,active,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Brian and Josh,0.333333333,0.333333333,0.666666667,NA,NA,NA,Volunteer,High,High
1025,5411,0.485620915,NA,30,Reef,EXP,swim,active,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Brian and Josh,0.333333333,0.333333333,0.666666667,NA,NA,NA,Volunteer,High,High
1048,5427,0.485620915,NA,35,Reef,EXP,hover,active,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Fogg and Rachel,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High
813,5123,0.735442192,NA,15,Reef,SH,hover,active,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Fogg and Riffe,0.8,0.8,0.2,NA,NA,High,NRM&CS,High,High
792,5119,0.735442192,NA,21,Reef,NA,rest,rest,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Grayson and Travis,0.8,0.8,0.2,NA,NA,High,Volunteer,High,High
704,5112,0.735442192,NA,22,Reef,SH,swim,active,Crepuscular,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hale and Sterne,0.75,0.75,0.25,NA,NA,High,Volunteer,High,High
807,5122,0.735442192,NA,25,Reef,SH,rest,rest,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hale and Sterne,0.75,0.75,0.25,NA,NA,High,Volunteer,High,High
31,122,0.891891892,72,12,Reef,SH,rest,rest,midday,1,0,0,0,0.083333333,0.083333333,Roger,0.555555556,0.555555556,0.444444444,NA,NA,High,NA,High,High
892,5130,0.735442192,NA,25,Reef,EXP,hover,active,midday,1,0,0.166666667,0.00278,0.083333334,0.083333334,Grayson and Travis,0.714285714,0.714285714,0.285714286,NA,NA,High,Volunteer,High,High
1092,5440,0.485620915,NA,33,Reef,EXP,hover,active,midday,1,0,0.333333333,0.00556,0.333333333,0.333333333,Kara and Holden,0.4,0.4,0.6,NA,NA,High,NRM&CS,High,High
1061,5428,0.485620915,NA,28,Reef,EXP,hover,active,Crepuscular,1,0,0.5,0.00833,0.5,0.5,Kara and Holden,0.333333333,0.333333333,0.666666667,NA,NA,High,NRM&CS,High,High
376,2174,NA,6.1,NA,Reef,SH,hover,active,midday,1,0,0.582,0.0097,0.582,0.582,Shelby,0.75,0.75,0.25,1000,300,High,NRM&CS,High,High
293,2010,0.857142857,50,17,Reef,SH,rest,rest,midday,1,0,0.966,0.0161,0.966,0.966,Ryan,0.6,0.6,0.4,1500,300,High,NRM&CS,High,High
616,5102,0.735442192,NA,25,Reef,NA,NA,NA,Crepuscular,1,0,1,0.0167,1,1,Hale and Sterne,0.786,0.786,0.214,NA,NA,High,Volunteer,High,High
806,5122,0.735442192,NA,23,Reef,SH,swim,active,midday,1,0,1,0.01667,1,1,Hale and Sterne,0.75,0.75,0.25,NA,NA,High,Volunteer,High,High
878,5127,0.735442192,NA,20,Reef,EXP,hunt,active,Crepuscular,1,0,1,0.01667,1,1,Hale and Sterne,0.9,0.9,0.1,NA,NA,High,Volunteer,High,High
154,395,0.529411765,54,19,Reef,SH,rest,rest,midday,1,0,1.002,0.0167,1.002,1.002,Liz,0,0.001,1,400,200,High,NRM&CS,High,High
278,1453,NA,16,NA,Reef,SH,rest,rest,midday,1,0,1.002,0.0167,1.002,1.002,Liz T.,0.833333333,0.833333333,0.166666667,NA,NA,High,NRM&CS,High,High
